,Unnamed: 0,textID,text,selected_text,sentiment,kfold
0,0,6675f9536d,": Aww, that sux!  _x3: Eeek for Airline charges!!! (****)",that sux!,negative,0
1,1,7440e87ea2, O dear! HE'S HERE! OMGOGMGO.. U didn't see that I was going to **** u..?,O dear! HE'S HERE! OMGOGMGO.. U didn't see that I was going to **** u..?,neutral,0
2,2,7d64708739,"Um. Why can't I write **** tonight? I like ****. I want to write ****. Yet, nothing. No ****.","Um. Why can't I write **** tonight? I like ****. I want to write ****. Yet, nothing. No ****.",positive,0
3,3,8c4a57dd60,"Special mention for the new Mean Girl ... welcome her! &amp; if you're not already, FOLLOW HER!! Night","Special mention for the new Mean Girl ... welcome her! &amp; if you're not already, FOLLOW HER!! Night",neutral,0
4,4,2f42dff0dd,school for a bit. glad jake got the day off,glad jake got the day off,positive,0
5,5,e387566c3d, haha that photo is too funny! I hope he wasn't disturbed by passengers too much during the flight,hope,positive,0
6,6,c6eea72783,Hey  Mia!! Go to bed!!    (deangeloredman live &gt; http://ustre.am/2NlC),Hey  Mia!! Go to bed!,neutral,0
7,7,78dcea89e3,_sweetye I hope so,I hope so,positive,0
8,8,0ffb510d8e, You're welcome Tila!! I love you!! Wish I could have heard it,I love you!,positive,0
9,9,63a48f7850,"Or this, for that matter: http://bit.ly/SS6Yp  So jealous.",So jealous.,negative,0
10,10,6c21d33903, no sorry twitter sucks balls since the replys change  #fixreplies,no sorry,negative,0
11,11,054d5c4400, You're cycling tho' that's good. Healthy eating  Healthy and eating are a contradiction in terms.,You're cycling tho' that's good. Healthy eating  Healthy and eating are a contradiction in terms.,positive,0
12,12,df0d124770,Going to bed. Hung out w. Aaron and Robin then took Aaron to Sunnys.,Going to bed. Hung out w. Aaron and Robin then took Aaron to Sunnys.,neutral,0
13,13,f538b035ae," made me want taco bell, **** you sara! oh well now i'm going to go change into my jammies now.","made me want taco bell, **** you sara! oh well now i'm going to go change into my jammies now.",neutral,0
14,14,a2fb6bdb96,Is losing money in Vegas...,Is losing money in Vegas...,negative,0
